List ,Headword ,Related forms,Total frequency
5k,composite,"composite (743), composites (87)",830
5k,compost,"compost (576), composted (23), composting (26), composts (33)",658
5k,comrade,"comrade (275), comradely (27), comrades (435), comradeship (71), comradeships (0)",808
5k,conclusive,"conclusive (445), conclusively (166), inconclusive (229), inconclusively (21)",861
5k,condense,"condense (61), condensate (25), condensates (4), condensation (343), condensations (1), condensed (251), condenser (34), condensers (4), condenses (17), condensing (51)",791
5k,condom,"condom (257), condoms (277)",534
5k,cone,"cone (471), cones (286)",757
5k,confederate,"confederate (46), confederacies (0), confederacy (41), confederal (25), confederates (14), confederation (512), confederations (42)",680
5k,confide,"confide (160), confidant (95), confidants (21), confided (298), confider (4), confiders (0), confides (34), confiding (93), confidingly (14)",719
5k,congest,"congest (4), congested (184), congesting (1), congestion (455), congestions (11), congestive (35), congests (1)",691
5k,conquer,"conquer (263), conquerable (0), conquered (345), conquering (163), conqueror (176), conquerors (80), conquers (17), unconquerable (10)",1054
5k,consecutive,"consecutive (733), consecutively (71), nonconsecutive (0), nonconsecutively (0)",804
5k,consortium,"consortium (896), consortia (131), consortiums (16)",1043
5k,conspicuous,"conspicuous (749), conspicuously (225), conspicuousness (9), inconspicuous (101), inconspicuously (19), inconspicuousness (2)",1105
5k,convene,"convene (139), convened (349), convener (155), conveners (14), convenes (9), convening (98), convenor (126), convenors (13)",903
5k,converge,"converge (205), converged (125), convergence (539), convergences (9), convergent (97), converges (42), converging (129)",1146
5k,conversely,conversely (812),812
5k,coral,"coral (775), corals (276)",1051
5k,corpse,"corpse (778), corpses (338)",1116
5k,cosmetic,"cosmetic (394), cosmetically (9), cosmetics (247)",650
5k,cosy,"cosy (688), cosier (21), cosiest (4), cosily (43), cosiness (45), cozier (3), coziest (0), cozily (0), coziness (3), cozy (26)",833
5k,courtyard,"courtyard (807), courtyards (105)",912
5k,covenant,"covenant (968), covenanted (33), covenanter (7), covenanters (33), covenanting (16), covenantor (33), covenantors (8), covenants (547)",1645
5k,cowboy,"cowboy (329), cowboys (168)",497
5k,crab,"crab (352), crabs (225), crabwise (8)",585
5k,cradle,"cradle (379), cradled (155), cradles (49), cradling (98)",681
5k,cramp,"cramp (166), cramped (424), cramping (35), cramps (100)",725
5k,crane,"crane (653), craned (68), cranes (198), craning (51)",970
5k,creek,"creek (271), creeks (38)",309
5k,crest,"crest (586), crested (141), cresting (8), crests (117)",852
5k,cricket,"cricket (3300), cricketed (0), cricketer (280), cricketers (269), cricketing (103)",3952
5k,cripple,"cripple (158), crippled (355), crippler (2), cripplers (0), cripples (29), crippling (237)",781
5k,crook,"crook (375), crooked (331), crookeder (1), crookedest (0), crookedly (26), crookedness (1), crooks (135)",869
5k,crouch,"crouch (219), crouched (556), crouches (21), crouching (216)",1012
5k,crunch,"crunch (375), crunched (100), crunches (18), crunchier (1), crunchiest (0), crunchiness (1), crunching (149), crunchy (97)",741
5k,crusade,"crusade (535), crusaded (3), crusader (106), crusaders (167), crusades (107), crusading (96)",1014
5k,cub,"cub (165), cubs (212)",377
5k,cue,"cue (464), cued (36), cueing (25), cues (441)",966
5k,culminate,"culminate (81), culminated (315), culminates (56), culminating (379), culmination (302), culminations (4)",1137
5k,cupboard,"cupboard (1381), cupboards (490)",1871
5k,curator,"curator (497), curatorial (58), curators (136), curatorship (6)",697
5k,curb,"curb (555), curbed (88), curbing (128), curbs (125)",896
5k,cushion,"cushion (525), cushioned (142), cushioning (87), cushions (443)",1197
5k,cylinder,"cylinder (1053), cylinders (333)",1386
5k,dairy,"dairy (952), dairied (0), dairies (87), dairying (41)",1080
5k,dale,"dale (749), dales (383)",1132
5k,dangle,"dangle (63), dangled (128), dangler (5), danglers (3), dangles (20), dangling (336)",555
5k,dart,"dart (329), darted (274), darting (175), darts (318)",1096
5k,daunt,"daunt (28), daunted (75), daunting (473), dauntingly (20), dauntless (159), dauntlessly (0), daunts (1), undaunted (106), undauntedly (1), undaunting (0)",863
5k,dazzle,"dazzle (124), dazzled (152), dazzler (11), dazzlers (1), dazzles (10), dazzling (506), dazzlingly (25)",829
5k,debris,debris (753),753
5k,deceased,"deceased (785), decease (11), predeceased (31)",827
5k,decree,"decree (859), decreed (286), decreeing (14), decrees (267)",1426
5k,deed,"deed (665), deeds (607)",1272
5k,default,"default (1023), defaulted (53), defaulter (12), defaulters (52), defaulting (47), defaults (98)",1285
5k,definitive,"definitive (594), definitively (72)",666
5k,degrade,"degrade (75), degradation (464), degradations (5), degraded (183), degrades (41), degrading (186)",954
5k,delete,"delete (465), deleted (428), deletes (37), deleting (105), deletion (358), deletions (119)",1512
5k,delta,"delta (711), deltas (52)",763
5k,demise,"demise (685), demised (154), demises (9)",848
5k,demon,"demon (315), demonic (102), demonically (5), demonise (1), demonised (5), demonises (0), demonising (2), demonize (1), demonized (7), demonizes (0), demonizing (6), demons (296)",740
5k,denounce,"denounce (148), denounced (543), denouncement (4), denouncements (0), denounces (34), denouncing (144)",873
5k,dentist,"dentist (560), dentistry (62), dentists (294)",916
5k,dependency,"dependency (856), dependencies (58)",914
5k,deplete,"deplete (42), depleted (326), depletes (3), depleting (86), depletion (364)",821
5k,depot,"depot (685), depots (141), depôt (0)",826
5k,descent,"descent (1050), descents (39)",1089
5k,dessert,"dessert (317), desserts (137)",454
5k,detention,"detention (868), detentions (29)",897
5k,deviate,"deviate (139), deviated (57), deviates (34), deviating (32), deviation (533), deviations (291), undeviating (7), undeviatingly (1)",1094
5k,diagnostic,"diagnostic (744), diagnostically (9), diagnostician (8), diagnosticians (7), diagnostics (93)",861
5k,dice,"dice (416), diced (83), dices (2), dicey (249), dicing (21)",771
5k,diesel,"diesel (1363), diesels (136)",1499
5k,differential,"differential (894), diff (63), differentially (56), differentials (236), diffs (27)",1276
5k,diffuse,"diffuse (339), diffused (150), diffuser (53), diffusers (6), diffuses (34), diffusing (44), diffusion (339), diffusions (1)",966
5k,dilute,"dilute (274), diluted (401), dilutes (11), diluting (61), dilution (262), dilutions (41), undiluted (63)",1113
5k,dinosaur,"dinosaur (304), dinosaurs (458)",762
5k,diocese,"diocese (581), archdiocese (38), archdioceses (1), diocesan (317), dioceses (97)",1034
5k,diplomacy,"diplomacy (561), diplomacies (0)",561
5k,disapprove,"disapprove (140), disapproval (500), disapprovals (3), disapproved (268), disapproves (36), disapproving (152), disapprovingly (54)",1153
5k,disarm,"disarm (118), disarmament (426), disarmed (105), disarming (141), disarmingly (53), disarms (6)",849
5k,discern,"discern (261), discernable (25), discerned (192), discerning (202), discernment (59), discernments (0), discerns (17), indiscernable (0)",756
5k,discrepancy,"discrepancy (383), discrepancies (267), discrepant (33)",683
5k,disgrace,"disgrace (507), disgraced (177), disgraceful (299), disgracefully (26), disgracefulness (0), disgraces (3), disgracing (4)",1016
5k,disintegrate,"disintegrate (99), disintegrated (150), disintegrates (30), disintegrating (115), disintegration (318)",712
5k,dislike,"dislike (958), disliked (598), dislikes (152), disliking (57)",1765
5k,dismantle,"dismantle (192), dismantled (331), dismantlement (2), dismantlements (0), dismantles (7), dismantling (325)",857
5k,dismay,"dismay (539), dismayed (255), dismaying (25), dismays (1)",820
5k,dispense,"dispense (292), dispensaries (18), dispensary (59), dispensation (134), dispensations (33), dispensed (267), dispenser (112), dispensers (73), dispenses (36), dispensing (216)",1240
5k,disposition,"disposition (643), dispositions (206)",849
5k,dissatisfy,"dissatisfy (2), dissatisfaction (567), dissatisfactions (13), dissatisfied (450), dissatisfies (1), dissatisfying (5)",1038
5k,dissent,"dissent (553), dissented (27), dissenter (29), dissenters (178), dissenting (265), dissents (13)",1065
5k,ditch,"ditch (713), ditched (137), ditches (266), ditching (57)",1173
5k,diverge,"diverge (142), diverged (70), divergence (289), divergences (48), divergent (237), diverges (35), diverging (51)",872
5k,diversify,"diversify (175), diversification (369), diversified (253), diversifies (5), diversifying (72)",874
5k,diversion,"diversion (548), diversionaries (0), diversionary (47), diversions (123)",718
5k,divert,"divert (425), diverted (553), diverting (198), diverts (49)",1225
5k,dizzy,"dizzy (377), dizzied (9), dizzier (3), dizzies (0), dizziest (0), dizzily (30), dizziness (95), dizzying (58)",572
5k,dodge,"dodge (241), dodged (106), dodger (93), dodgers (48), dodges (26), dodging (190)",704
5k,dole,"dole (598), doled (25), doles (16), doling (14)",653
5k,dominance,dominance (1100),1100
5k,doom,"doom (437), doomed (613), dooming (3), dooms (2)",1055
5k,drape,"drape (86), draped (457), draper (226), draperies (31), drapers (59), drapery (68), drapes (119), draping (37)",1083
5k,drastic,"drastic (671), drastically (417)",1088
5k,dread,"dread (561), dreaded (392), dreading (114), dreads (34)",1101
5k,dreadful,"dreadful (1365), dreadfully (171)",1536
5k,drought,"drought (683), droughts (55)",738
5k,drunken,"drunken (606), drunkenly (60), drunkenness (152)",818
5k,dub,"dub (167), dubbed (464), dubber (4), dubbing (47), dubs (21)",703
5k,dubious,"dubious (703), dubiously (72), dubiousness (5)",780
5k,dumb,"dumb (814), dumber (1), dumbest (2), dumbly (53), dumbness (10)",880
5k,duplicate,"duplicate (322), duplicated (186), duplicates (62), duplicating (72), duplication (320), duplications (22), reduplication (3)",987
5k,durable,"durable (361), durabilities (1), durability (199), durables (87), durably (2), nondurable (1), nondurables (0)",651
5k,dusk,"dusk (590), duskier (1), duskiest (0), duskiness (2), dusks (3), dusky (97)",693
5k,dwarf,"dwarf (624), dwarfed (98), dwarfing (34), dwarfish (9), dwarfism (11), dwarfs (287), dwarves (56)",1119
5k,dye,"dye (468), dyed (271), dyeing (127), dyer (206), dyers (37), dyes (168)",1277
5k,dynamics,dynamics (624),624
5k,earnest,"earnest (628), earnestly (249), earnestness (46)",923
5k,earthquake,"earthquake (494), earthquakes (219)",713
5k,eccentric,"eccentric (604), eccentrically (16), eccentricities (80), eccentricity (145), eccentrics (31)",876
5k,eclipse,"eclipse (290), eclipsed (146), eclipses (55), eclipsing (36)",527
5k,ecology,"ecology (618), ecologies (10), ecologist (61), ecologists (140)",829
5k,ecstasy,"ecstasy (606), ecstasies (28), ecstatic (246), ecstatically (44)",924
5k,efficacy,"efficacy (516), efficacies (3)",519
5k,elastic,"elastic (601), elastically (14), elasticated (89), elasticise (0), elasticised (0), elasticises (0), elasticising (1), elasticities (74), elasticity (318), elasticize (0), elasticized (0), elasticizes (0), elasticizing (0), elastics (3), inelastic (88), nonelastic (0)",1188
5k,electorate,"electorate (1075), electorates (53)",1128
5k,elf,"elf (360), elfin (36), elfish (2), elflike (0), elven (35), elves (388), elvish (15)",836
5k,elicit,"elicit (241), elicitation (48), elicitations (2), elicited (192), eliciting (89), elicits (41)",613
5k,elusive,"elusive (623), elusively (9), elusiveness (11)",643
5k,embark,"embark (407), embarkation (43), embarkations (0), embarked (598), embarking (308), embarks (33)",1389
5k,embed,"embed (48), embedded (839), embedding (110), embeds (7)",1004
5k,embroider,"embroider (33), embroidered (378), embroiderer (13), embroiderers (14), embroideries (17), embroidering (17), embroiders (4), embroidery (304)",780
5k,embryo,"embryo (505), embryos (444)",949
5k,emigrate,"emigrate (150), emigrated (234), emigrates (5), emigrating (51), emigration (347), emigrations (4)",791
5k,empower,"empower (86), empowered (382), empowering (100), empowerment (177), empowerments (0), empowers (55)",800
5k,encompass,"encompass (321), encompassed (158), encompasses (222), encompassing (210)",911
5k,engrave,"engrave (15), engraved (354), engraver (68), engravers (25), engraves (2), engraving (142), engravings (116)",722
5k,enlist,"enlist (191), enlistings (0), enlisted (250), enlisting (62), enlistment (20), enlistments (1), enlists (9)",533
5k,enquire,"enquire (376), enquired (812), enquirer (51), enquirers (40), enquires (23), enquiries (1653), enquiring (237), enquiringly (50), enquiry (1738)",4980
5k,ensemble,"ensemble (430), ensembles (82)",512
5k,ensue,"ensue (142), ensued (241), ensues (68), ensuing (461)",912
5k,entail,"entail (402), entailed (382), entailing (67), entailment (37), entailments (5), entails (497)",1390
5k,enzyme,"enzyme (759), enzymes (490)",1249
5k,epic,"epic (587), epically (1), epics (83)",671
5k,epidemic,"epidemic (541), epidemics (129)",670
5k,equilibrium,"equilibrium (1682), equilibria (74), equilibriums (0)",1756
5k,erase,"erase (177), erased (154), eraser (24), erasers (9), erases (10), erasing (33), erasure (61), erasures (7)",475
5k,erode,"erode (114), eroded (528), erodes (30), eroding (88)",760
5k,erosion,"erosion (1223), erosional (30), erosions (55)",1308
5k,escalate,"escalate (109), escalated (109), escalates (29), escalating (274), escalation (203), escalations (5)",729
5k,eternal,"eternal (837), eternally (115), eternalness (0)",952
5k,evangelical,"evangelical (416), evangelicalism (31), evangelically (4), evangelicals (114)",565
5k,evaporate,"evaporate (137), evaporated (258), evaporates (66), evaporating (55), evaporation (184), evaporator (14), evaporators (1)",715
5k,exacerbate,"exacerbate (137), exacerbated (410), exacerbates (40), exacerbating (44), exacerbation (26)",657
5k,expanse,"expanse (321), expanses (70), expansive (189), expansively (37), expansiveness (10)",627
5k,expel,"expel (137), expelled (652), expelling (63), expels (12)",864
5k,expire,"expire (235), expiration (78), expirations (0), expired (372), expires (157), expiring (36), unexpired (29), expiratory (48)",955
